
2024/07/30 (03:54:55) | ===> btop++ v.1.3.2
2024/07/30 (03:54:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (11:26:01) | ===> btop++ v.1.3.2
2024/07/30 (11:26:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (17:07:28) | ===> btop++ v.1.3.2
2024/07/30 (17:07:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (01:34:29) | ===> btop++ v.1.3.2
2024/07/31 (01:34:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (02:19:15) | ===> btop++ v.1.3.2
2024/07/31 (02:19:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/09 (23:54:25) | ===> btop++ v.1.3.2
2024/08/09 (23:54:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/10 (09:41:29) | ===> btop++ v.1.3.2
2024/08/10 (09:41:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (00:28:32) | ===> btop++ v.1.3.2
2024/08/11 (00:28:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (13:05:49) | ===> btop++ v.1.3.2
2024/08/11 (13:05:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (14:56:09) | ===> btop++ v.1.3.2
2024/08/11 (14:56:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (00:10:54) | ===> btop++ v.1.3.2
2024/08/12 (00:10:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/13 (02:53:31) | ===> btop++ v.1.3.2
2024/08/13 (02:53:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/13 (03:23:27) | ===> btop++ v.1.3.2
2024/08/13 (03:23:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (14:35:18) | ===> btop++ v.1.3.2
2024/08/15 (14:35:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (16:51:05) | ===> btop++ v.1.3.2
2024/08/15 (16:51:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (21:54:24) | ===> btop++ v.1.3.2
2024/08/18 (21:54:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (13:06:32) | ===> btop++ v.1.3.2
2024/08/19 (13:06:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (15:56:55) | ===> btop++ v.1.3.2
2024/08/19 (15:56:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (16:02:11) | ===> btop++ v.1.3.2
2024/08/19 (16:02:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (22:50:26) | ===> btop++ v.1.3.2
2024/08/19 (22:50:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:40) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:42) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:44) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:46) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:48) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:50) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:52) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:54) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:56) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:57:58) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
